题目名,简单题目描述,难度,知识点,作者,慕码ID,题目文件夹
isintance,使用 isinstance 判断读取的变量类型,1,内置全局函数-类和对象,张舒,2949/1664,BuiltInFunctions/Object/Isinstance
issubclass,使用 issubclass 判断子类,1,内置全局函数-类和对象|面向对象-继承,张舒,2949/1665,BuiltInFunctions/Object/Issubclass
repr和str,使用 repr 和 str 函数,2,内置全局函数-类和对象,谢子聪,2949/1666,BuiltInFunctions/Object/Repr_2
callable,使用 callable 判断对象是否可被调用,1,内置全局函数-类和对象,谢子聪,2949/1663,BuiltInFunctions/Object/callable
super,使用 super 计算加法,3,内置全局函数-类和对象|类和对象-继承,谢子聪,2949/1667,BuiltInFunctions/Object/super
增查属性,使用 ?attr 操作增查对象属性,2,内置全局函数-类和对象,谢子聪,2949/1662,BuiltInFunctions/Object/attr
type,使用 type() 得到给定变量的类型,1,内置全局函数-类和对象,张舒,2949/1668,BuiltInFunctions/Object/Type
exec,利用 exec() 执行储存在字符串或文件中的 Python 语句,1,内置全局函数|编译执行,张舒,2948/1658,BuiltInFunctions/NumAndStr/Exec
divmod,使用 divmod() 得到商和余数,1,内置全局函数|数值运算,谢子聪,2948/1656,BuiltInFunctions/NumAndStr/divmod
进制转换2,将其他进制的数转为十进制,1,内置全局函数-数值和字符串|进制转换,谢子聪,2948/1661,BuiltInFunctions/NumAndStr/toint
abs,使用 abs() 得到数字的绝对值,1,内置全局函数|数值运算,谢子聪,2948/1652,BuiltInFunctions/NumAndStr/abs
回文数,判断数字是否为回文数,1,内置全局函数|字符串,MOOCTEST,1703,BuiltInFunctions/NumAndStr/1_Plalindrome
ascii,使用 ascii 将字符串中的特殊字符转义,1,内置全局函数-数值和字符串|字符串-字符编码,谢子聪,2948/1653,BuiltInFunctions/NumAndStr/ascii
进制转换1,使用 bin()、oct() 和 hex() 转换十进制数字,1,内置全局函数-数值和字符串|进制转换,谢子聪,2948/1654,BuiltInFunctions/NumAndStr/binocthex
开根号,使用 pow 或者 ** 开根号,1,内置全局函数|数值运算,谢子聪,2948/1660,BuiltInFunctions/NumAndStr/pow
eval,使用 eval() 计算表达式,1,内置全局函数|编译执行,张舒,2948/1657,BuiltInFunctions/NumAndStr/Eval
chr,使用 chr() 将数字表示为字符,1,内置全局函数-数值和字符串|字符串-字符编码,谢子聪,2948/1655,BuiltInFunctions/NumAndStr/chr
ord,使用 ord() 将字符转换为 ASCII 数值,1,内置全局函数-数值和字符串|字符串-字符编码,谢子聪,2948/1659,BuiltInFunctions/NumAndStr/ord
all,使用all()判断学生是否参加所有考试,1,内置全局函数-可迭代对象,黎宇,2947/1641,BuiltInFunctions/Iterable/all
sum,使用 sum() 得到序列和,1,内置全局函数-可迭代对象|统计基础,谢子聪,2947/1649,BuiltInFunctions/Iterable/sum
range,使用 range() 生成整数序列,1,内置全局函数-可迭代对象|生成器,谢子聪,2947/1647,BuiltInFunctions/Iterable/range
any,使用any()判断学生是否参加所有考试,1,内置全局函数-可迭代对象,谢子聪,2947/1642,BuiltInFunctions/Iterable/any
解zip,使用 zip() 分解元组列表,1,内置全局函数-可迭代对象|函数-参数传递,谢子聪,2947/1651,BuiltInFunctions/Iterable/zip2
试一试map函数,使用 map() 函数对列表进行操作,1,内置全局函数-可迭代对象|高阶函数,MOOCTEST,1698,BuiltInFunctions/Iterable/11_TryMapFunc
倒序输出,使用三种方式倒序输出一个列表,2,内置全局函数-可迭代对象,谢子聪,审核中,BuiltInFunctions/Iterable/reverse
最大值和最小值,得到给定序列的最大值和最小值,1,内置全局函数-可迭代对象|统计基础,谢子聪,2947/1646,BuiltInFunctions/Iterable/maxmin
zip,使用 zip 得到货仓和货品的对应元组,1,内置全局函数-可迭代对象,黎宇,2947/1650,BuiltInFunctions/Iterable/zip
enumerate,使用 enumerate 为员工加上编号,1,内置全局函数-可迭代对象,黎宇,2947/1643,BuiltInFunctions/Iterable/enumerate
filter,使用 filter() 过滤出平方根是整数的数,2,内置全局函数-可迭代对象|高阶函数,黎宇,2947/1644,BuiltInFunctions/Iterable/filter
sorted,使用sorted对数据按照指定的要求排序,2,内置全局函数-可迭代对象|排序,黎宇,2947/1648,BuiltInFunctions/Iterable/sorted
基数排序,实现基数排序,2,排序算法,匿名,Unknown,Algorithms/Sort/Radix
快速排序,实现快速排序,2,排序算法,匿名,Unknown,Algorithms/Sort/Quick
冒泡排序,实现冒泡排序,2,排序算法,匿名,Unknown,Algorithms/Sort/Bubble
桶排序,实现桶排序,2,排序算法,匿名,Unknown,Algorithms/Sort/Bucket
选择排序,实现选择排序,2,排序算法,匿名,Unknown,Algorithms/Sort/Selection
插入排序,实现插入排序,2,排序算法,匿名,Unknown,Algorithms/Sort/Insertion
堆排序,实现堆排序,3,排序算法,匿名,Unknown,Algorithms/Sort/Heap
希尔排序,实现希尔排序,2,排序算法,匿名,Unknown,Algorithms/Sort/Shell
归并排序,实现归并排序,2,排序算法,匿名,Unknown,Algorithms/Sort/Merge
计数排序,实现计数排序,2,排序算法,匿名,Unknown,Algorithms/Sort/Counting
