求集合的并集,1,求两个集合的并集,集合-内置函数-交差并,MOOCTEST,DataStructures/SetandDIct/15_GetUnion,0,null
考试成绩单,3,将运动成绩信息组成字典,字典,Python快速入门-刘锦涛,DataStructures/SetandDIct/6_exam,0,null
交换key-value,3,将key作为value、将value作为key创建新字典,字典|序列操作-sorted(),MOOCTEST,DataStructures/SetandDIct/69_Exchangekey-value,0,null
求集合的交集,1,求两个集合的交集,集合-内置函数-交差并,MOOCTEST,DataStructures/SetandDIct/14_GetIntersection,0,null
求集合的子集,1,判断一个集合是否为另一个集合的子集,集合-内置函数-is?(),MOOCTEST,DataStructures/SetandDIct/13_GetSubset,0,null
年龄最大者,2,从用户字典中找出年龄最大者,字典-遍历|字典-运算符,RUNOOB,DataStructures/SetandDIct/78_OldestPerson,0,null
求集合的差集,1,求两个集合的差集,集合-内置函数-交差并,MOOCTEST,DataStructures/SetandDIct/16_GetSubtract,0,null
打印菱形,2,打印出一个菱形,字符串-格式化|字符串-运算符,RUNOOB,DataStructures/String/23_PrintDiamond,0,null
整数分组,1,将一个9位整数以3位为一组分隔开,字符串-运算符,MOOCTEST,DataStructures/String/74_IntegerDecomposition,0,null
汉字判断,简单题目描述,0,知识点,匿名,DataStructures/String/101_IsChinese,0,null
咖啡名称提取,2,从字符串中提取英文字符,字符串-内置函数-is?(),MOOCTEST,DataStructures/String/70_GetCoffeeName,0,null
找子串,2,统计一个字符串在另一个字符串中的出现次数,字符串-内置函数-find(),MOOCTEST,DataStructures/String/80_FindSubstrings,0,null
---,简单题目描述,0,知识点,匿名,DataStructures/String/bytes,0,null
求大数除法的余数,2,求一个大数除以某个数的余数,数学-其它|字符串-运算符,MOOCTEST,DataStructures/String/77_LargeNumberDivisionRemainder,0,null
字符串编码,简单题目描述,0,知识点,匿名,DataStructures/String/102_UnicodeValue,0,null
凯撒加密,2,给出经凯撒加密后的密文，求原文,字符串-字符编码-编码解码,MOOCTEST,DataStructures/String/95_CaesarEncryption,0,null
光棍的悲伤,1,求一个整数的二进制表示中1的个数,字符串-内置函数-count(),MOOCTEST,DataStructures/String/51_BachelorSorrow,0,null
